"num","pos","player.x","player.y","club","team","league","total","player_id","dist","check_needed"
144,"D","DYLAN LAWLOR","DYLAN LAWLOR","Cardiff","Cardiff","CH",2,191855,0,FALSE
145,"D","DYNEL SIMEU","DYLAN SULEIMAN","Oldham","Stevenage","L1",2,209754,0.258874458874459,TRUE
146,"D","ETHAN EBANKS-LANDELL","ETHAN EBANKS-LANDELL","Rochdale","Rochdale","L2",2,58056,0,FALSE
147,"D","EZRE KONSA","EZRI KONSA","Aston Villa","Aston Villa","PL",2,89575,0.0666666666666668,FALSE
148,"D","FARREND RAWSON","FARREND RAWSON","Accrington","Accrington","L2",2,77612,0,FALSE
149,"D","FINLEY MUNROE","FINLEY MUNROE","Swindon","Middlesbrough","CH",2,180653,0,FALSE
150,"D","HARRISON BURKE","HARRISON BURKE","Walsall","Walsall","L2",2,137366,0,FALSE
151,"D","HARRY MAGUIRE","HARRY MAGUIRE","Manchester United","Manchester United","PL",2,58712,0,FALSE
152,"D","HAYDEN CARTER","HAYDEN CARTER","Blackburn","Blackburn","CH",2,129271,0,FALSE
153,"D","IBANE BOWAT","IBANE BOWAT","Portsmouth","Portsmouth","CH",2,179271,0,FALSE
154,"D","IBRAHIMA KONATE","IBRAHIM BAKARE","Liverpool","Cheltenham","L2",2,122973,0.142063492063492,TRUE
155,"D","IDRIS ODUTAYO","IDRIS KANU","Bromley","Barnet","L2",2,97162,0.236538461538461,TRUE
156,"D","JACK ARMER","JACK ARMER","Burton","Burton","L1",2,122960,0,FALSE
158,"D","JACK SIMPSON","JACK SIMPSON","Leyton Orient","Chesterfield","L2",2,89954,0,FALSE
159,"D","JACK SPARKES","JACK SPARKES","Bristol Rovers","Bristol Rovers","L2",2,103566,0,FALSE
161,"D","JACK STEPHENS","JACK STEPHENS","Southampton","Southampton","CH",2,56993,0,FALSE
162,"D","JACK TUCKER","JACK TUCKER","Colchester","Colchester","L2",2,108267,0,FALSE
163,"D","JAHEIM HEADLEY","JAHEIM HEADLEY","Port Vale","Port Vale","L2",2,125347,0,FALSE
164,"D","JAKE LEAKE","JAKE LEAKE","Oldham","Colchester","L2",2,136739,0,FALSE
165,"D","JAMES BOLTON","JAMES BOLTON","Fleetwood","Fleetwood","L2",2,63184,0,FALSE
166,"D","JAMES DORNELLY","JAMES DORNELLY","Peterborough","Peterborough","L1",2,182805,0,FALSE
167,"D","JAMES MORRIS","JAMES MORRIS","Leyton Orient","Leyton Orient","L1",2,126312,0,FALSE
168,"D","JAMES TARKOWSKI","JAMES TARKOWSKI","Everton","Everton","PL",2,58187,0,FALSE
169,"D","JASON KERR","MASON TERRY","Wigan","Port Vale","L2",2,167416,0.157575757575758,TRUE
171,"D","JEREMIE FRIMPONG","JEREMIE FRIMPONG","Liverpool","Liverpool","PL",2,116337,0,FALSE
172,"D","JERIEL DORSETT","JERIEL DORSETT","Reading","Reading","L1",2,128859,0,FALSE
173,"D","JOE KIZZI","JOE KNIGHT","Barnet","Stevenage","L1",2,183898,0.244444444444444,TRUE
174,"D","JOE LOW","JOE LOW","Huddersfield","Huddersfield","L1",2,144288,0,FALSE
175,"D","JOE RANKIN-COSTELLO","JOE RANKIN-COSTELLO","Charlton","Charlton","CH",2,96141,0,FALSE
177,"D","JORDAN GABRIEL","JORDAN ARCHER","Port Vale","Portsmouth","CH",2,67664,0.172161172161172,TRUE
178,"D","JORDAN GABRIEL","JORDAN DAVIES","Port Vale","Tranmere","L2",2,94452,0.172161172161172,TRUE
179,"D","JORDAN STOREY","JORDAN STOREY","Preston","Preston","CH",2,94515,0,FALSE
180,"D","JORREL HATO","JORREL HATO","Chelsea","Chelsea","PL",2,170914,0,FALSE
181,"D","JOSEPH OLOWU","JOSEPH OLOWU","Stockport","Leyton Orient","L1",2,116147,0,FALSE
182,"D","JOSH ACHEAMPONG","JOSH ACHEAMPONG","Chelsea","Chelsea","PL",2,182542,0,FALSE
183,"D","JOSH KEY","JOSHUA KEY","Swansea","Swansea","CH",2,107531,0.0666666666666668,FALSE
184,"D","JOSH RUFFELS","JOSH RUFFELS","Shrewsbury","Shrewsbury","L2",2,58269,0,FALSE
185,"D","JOSKO GVARDIOL","JOSKO GVARDIOL","Manchester City","Manchester City","PL",2,124784,0,FALSE
186,"D","KAINE KESLER-HAYDEN","KAINE KESLER-HAYDEN","Coventry","Coventry","PL",2,138308,0,FALSE
187,"D","KOFI BALMER","KOFI BALMER","Bristol Rovers","Bristol Rovers","L2",2,102639,0,FALSE
188,"D","KYLE CAMERON","KYLE CAMERON","Bromley","Newport","L2",2,89796,0,FALSE
189,"D","KYLE MCFADZEAN","KYLE MCFADZEAN","Chesterfield","Chesterfield","L2",2,42176,0,FALSE
190,"D","LADISLAV KREJCI","LADISLAV KREJCI","Wolves","Wolves","CH",2,106063,0,FALSE
191,"D","LEIF DAVIS","LEIF DAVIS","Ipswich","Ipswich","PL",2,117236,0,FALSE
192,"D","LEWIS MILLER","LEWIS MILLER","Blackburn","Blackburn","CH",2,114074,0,FALSE
193,"D","LIAM BENNETT","LIAM BENNETT","Cambridge","Cambridge","L1",2,143435,0,FALSE
194,"D","LIAM KITCHING","LIAM KITCHING","Coventry","Coventry","PL",2,110111,0,FALSE
195,"D","LYNDEN GOOCH","LYNDEN GOOCH","Huddersfield","Huddersfield","L1",2,81463,0,FALSE
196,"D","MACAULAY GILLESPHEY","MACAULAY GILLESPHEY","Charlton","Bradford","L1",2,88091,0,FALSE
197,"D","MADS ANDERSEN","MADS ANDERSEN","Luton","Luton","L1",2,82231,0,FALSE
198,"D","MAMADOU JOBE","MAMADOU JOBE","Cambridge","Cambridge","L1",2,143436,0,FALSE
199,"D","MANNY MONTHE","MANNY MONTHE","Oldham","Oldham","L2",2,75406,0,FALSE
200,"D","MARC BOLA","MARC BOLA","Watford","Watford","CH",2,98404,0,FALSE
201,"D","MASON HANCOCK","MASON HANCOCK","Walsall","Walsall","L2",2,142727,0,FALSE
202,"D","MATS WIEFFER","MATS WIEFFER","Brighton","Brighton","PL",2,120933,0,FALSE
203,"D","MATTHEW PENNINGTON","MATTHEW PENNINGTON","Bradford","Bradford","L1",2,70729,0,FALSE
204,"D","MATTY PEARSON","MATTHEW PEARSON","Doncaster","Doncaster","L1",2,63549,0.133974358974359,FALSE
205,"D","MAX DYCHE","MAX DYCHE","Northampton","Northampton","L2",2,134029,0,FALSE
206,"D","MAXIM DE CUYPER","MAXIM DE CUYPER","Brighton","Brighton","PL",2,128768,0,FALSE
